Component,Feature,Skal flyttes til Github Projects,Flyttekommentar,Flyttet til Github Projects,Usertesting,Done ✔️,V1,V2,V3,Done,Documentation only,Comments
Div,Golden path: static site module (S3),x,,,,,,,,,,
Div,Security groups on all points where data flows,x,,,x,,x,,,,,
Div,"Golden path: Default alerts, like for instance downtime.",x,,,,,,,,,,"We can use Grafana, Cloudwatch, and/or Slack. Also see Better Uptime."
Div,QA of Terraform config (Checkov),x,,,,,,x,,,,Check out if we want this or something similar.
Div,Encrypted remote state,x,,,x,,x,,,,,"I just saw that Endre used encrypted remote stote, and Golden Path doesn't. We probably should I guess? See https://github.com/oslokommune/origo-aws-iac/blob/main/teknologi-dev/bootstrap/remote-state.tf"
Div,ok script,x,,,,,,,,,,
Div,Team kjøremiljø - opplæring på nye komponent,x,,,,,,,,,,Teamet må oppdatere kunnskap på riggen vi skal levere
,,,,,,,,,,,,
documentation,CMS - setup and deploy,x,,,,,,,,,,
documentation,How to setup golden path and delete whole/parts,x,,,x,,,,,,,Should get reference-app up and running automaticly when bootstrapping app
documentation,Migrate app & db from existing VPC to new VPC - how to migrate parts first,x,,,,,,,,,,
documentation,What does golden path give you? Drawings and overview of components,x,,,x,,,,,,,WHY we have chosen the different components
documentation,"Best practice for high availability (ECS config, replicas, NAT gateways, guidelines for how to write applications, etc)",x,,,,,x,,,,,
documentation,Containers: ECS-CLI. Setup and follow logs,x,,,x,,,,,,,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs-developer-tools.html
documentation,RDS: Introduction setup and considerations,x,,,,,,,,,,
documentation,RDS: How to connect from localhost,x,,,x,,,,,,,
documentation,RDS: how to rotate passwords,x,,,,,,,,,,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Overview.Encryption.Keys.html
documentation,RDS: backup/restore strategy Restoring example,x,,,,,,,,,,
documentation,RDS: parameter group for instances,x,,,,,,,,,,
documentation,RDS: cluster parameter group,x,,,,,,,,,,
documentation,RDS: upgrade strategy. Minor version upgrade auto upgrade,x,,,,,,,,,,
documentation,RDS: error logs - how to configure and how to debug local,x,,,,,,,,,,
documentation,RDS: alarms - how to configure and how to use,x,,,,,,,,,,
documentation,"Security: network, IAM etc on what you need to think about. Explicit rules",x,,,,,,,,,,
documentation,Better Uptime: best practice and setup,x,,,,,,,,,,
documentation,Health endpoint for ELB target group,x,,,,,,,,,,
documentation,Slack integration for alerts,x,,,,,,,,,,
documentation,Scaling: Multi-AZs & region for RDS & Application,x,,,,,,,,,,
documentation,ECS: how to run scheduled tasks,x,,,,,,,,,,
documentation,"VPC: how to configure, sane defaults, sharing with other account",x,,,,,,,,,,
documentation,"VPC: IPv4, IPv6, how to choose IP blocks",x,,,,,,,,,,
documentation,VPC: How to debug components in your VPC,x,,,,,,,,,,
documentation,VPC: subnets - what are the different subnets for?,x,,,,,,,,,,
documentation,Certificates: update/expiry handling,x,,,,,,,,,,
documentation,WAF/Shield,x,,,,,,,,,,
documentation,Logging: How to configure Logback?,x,,,,,,,,,,
documentation,Metrics: How to set up metrics for my application?,x,,,,,,,,,,
documentation,"Metrics: Document which metrics are the most relevant. And which datasources to use. Examples: Incoming requests count, response time, error rate.",x,,,,,,,,,,
,,,,,,,,,,,,
research,Terraform Enterprise  &&  Terraform cloud,,repo: kjoremiljo-admin-tasks,,,,,,,,,Evt spacelift.io
